SEX,AGE,REGION,CITY_SIZE,EDU_LV,JOB,N_W_Q1,# T_Q1,N_W_Q2,#T_Q2,#T_TRUSTED,N_W_Q3,#T_Q3,#T_UNTRUSTED,N_W_Q4,#T_Q4,N_W_Q5,#T_Q5,N_W_Q6,#T_Q6,COMPL_TIME_SEC,User_Experience_Rating,Total_Words_per_Respondent,Total_Themes_per_Respondent,Transcripts Comparison Result,Transcript Classification Result,Completion Mode
Una femmina,53,Piemonte,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,22,1,12,2,1,15,1,1,27,1,6,2,23,1,366,9,105,9,worst,not gibberish,Glaut
Una femmina,19,Lombardia,Fino a 10.000,Scuole superiori/Diploma,Impiegato,50,3,25,2,1,8,3,1,17,2,25,2,8,1,375,7,133,12,worst,not gibberish,Glaut
Un maschio,80,Puglia,Da 100.001 a 500.000,Laurea/post laurea,Imprenditore/libero professionista,13,2,19,2,1,8,2,1,8,1,11,2,6,1,656,9,65,10,worst,not gibberish,Glaut
Un maschio,32,Emilia romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Imprenditore/libero professionista,23,2,17,1,1,12,2,0,0,0,9,1,10,0,223,10,71,5,worst,not gibberish,Glaut
Una femmina,50,Lombardia,Oltre 500.001,Scuole superiori/Diploma,Impiegato,31,3,15,3,1,23,3,1,32,1,13,2,14,2,585,9,128,13,worst,not gibberish,Glaut
Un maschio,53,Toscana,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,12,2,33,3,1,13,2,1,27,2,19,2,7,1,624,7,111,12,better,gibberish,Glaut
Una femmina,52,lazio,Oltre 500.001,Laurea/post laurea,Impiegato,11,2,5,2,1,10,2,0,0,0,4,1,3,1,219,9,33,7,better,not gibberish,Glaut
Una femmina,80,liguria,Da 30.001 a 100.000,Scuole superiori/Diploma,Casalinga,9,2,7,1,1,11,2,0,0,0,4,1,4,1,415,10,35,6,worst,not gibberish,Glaut
Una femmina,28,Lombardia,Oltre 500.001,Laurea/post laurea,Imprenditore/libero professionista,16,2,18,2,1,10,1,0,0,0,9,1,9,1,255,10,62,6,better,not gibberish,Glaut
Una femmina,40,Friuli Venezia-Giulia,Fino a 10.000,Scuole medie,Casalinga,13,1,10,2,1,9,1,0,0,0,8,1,3,1,1030,10,43,6,better,not gibberish,Glaut
Un maschio,39,Veneto,Fino a 10.000,Scuole superiori/Diploma,Dirigente/Quadro,9,2,12,1,1,11,3,0,0,0,2,1,19,2,587,9,53,8,better,not gibberish,Glaut
Una femmina,42,Puglia,Da 30.001 a 100.000,Scuole superiori/Diploma,Non occupato/in cerca di occupazione,40,2,26,2,3,10,2,1,9,1,5,1,8,1,373,10,98,11,better,not gibberish,Glaut
Una femmina,42,Lombardia,Oltre 500.001,Laurea/post laurea,Impiegato,14,2,21,3,0,10,3,0,0,0,26,3,13,2,358,9,84,11,worst,not gibberish,Glaut
Un maschio,57,Abruzzo,Da 10.001 a 30.000,Laurea/post laurea,Non occupato/in cerca di occupazione,2,0,15,2,0,0,0,0,0,0,6,0,4,0,326,7,27,2,better,not gibberish,Glaut
Un maschio,46,Lombardia,Oltre 500.001,Laurea/post laurea,Impiegato,34,4,64,4,0,0,0,0,0,0,28,2,11,1,1281,8,137,7,better,not gibberish,Glaut
Una femmina,56,emilia romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,20,1,13,2,1,9,2,1,4,1,4,1,5,2,296,10,55,10,worst,not gibberish,Glaut
Una femmina,36,lazio,Oltre 500.001,Laurea/post laurea,Impiegato,11,1,7,2,1,5,2,1,5,1,2,1,3,1,218,8,33,9,better,not gibberish,Glaut
Una femmina,40,Puglia,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,17,2,11,1,1,13,2,0,0,0,9,1,8,1,338,2,58,6,better,not gibberish,Glaut
Un maschio,45,Emilia Romagna,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,14,2,16,3,1,16,1,0,0,0,10,1,10,1,325,9,66,7,better,not gibberish,Glaut
Un maschio,32,Emilia romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Imprenditore/libero professionista,23,2,17,1,1,12,2,0,0,0,9,1,10,0,223,10,71,5,worst,gibberish,Glaut
Una femmina,32,Abruzzo,Da 30.001 a 100.000,/post laurea,Impiegato,14,2,7,1,1,11,2,1,18,1,14,3,5,1,290,9,69,10,better,not gibberish,Glaut
Un maschio,46,Lombardia,Oltre 500.001,Laurea/post laurea,Impiegato,34,4,64,4,0,0,0,0,0,0,28,2,11,1,1281,8,137,7,worst,not gibberish,Glaut
