SEX,AGE,REGION,CITY_SIZE,N_W_Q1,# T_Q1,N_W_Q2,#T_Q2,#T_TRUSTED,N_W_Q3,#T_Q3,#T_UNTRUSTED,N_W_Q4,#T_Q4,N_W_Q5,#T_Q5,N_W_Q6,#T_Q6,JOB,EDU_LV,COMPL_TIME_SEC,User_Experience_Rating,Total_Words_per_Respondent,Total_Themes_per_Respondent,Completion Mode,Transcripts Comparison Result,Transcript Classification Result
Una femmina,53,Piemonte,Da 30.001 a 100.000,22,1,12,2,1,15,1,1,27,1,6,2,23,1,Impiegato,Laurea/post laurea,366,9,105,9,Glaut,worst,not gibberish
Una femmina,19,Lombardia,Fino a 10.000,50,3,25,2,1,8,3,1,17,2,25,2,8,1,Impiegato,Scuole superiori/Diploma,375,7,133,12,Glaut,worst,not gibberish
Un maschio,80,Puglia,Da 100.001 a 500.000,13,2,19,2,1,8,2,1,8,1,11,2,6,1,Imprenditore/libero professionista,Laurea/post laurea,656,9,65,10,Glaut,worst,not gibberish
Un maschio,32,Emilia romagna,Da 100.001 a 500.000,23,2,17,1,1,12,2,0,0,0,9,1,10,0,Imprenditore/libero professionista,Scuole superiori/Diploma,223,10,71,5,Glaut,worst,not gibberish
Una femmina,50,Lombardia,Oltre 500.001,31,3,15,3,1,23,3,1,32,1,13,2,14,2,Impiegato,Scuole superiori/Diploma,585,9,128,13,Glaut,worst,not gibberish
Un maschio,53,Toscana,Da 100.001 a 500.000,12,2,33,3,1,13,2,1,27,2,19,2,7,1,Impiegato,Scuole superiori/Diploma,624,7,111,12,Glaut,better,gibberish
Una femmina,52,lazio,Oltre 500.001,11,2,5,2,1,10,2,0,0,0,4,1,3,1,Impiegato,Laurea/post laurea,219,9,33,7,Glaut,better,not gibberish
Una femmina,80,liguria,Da 30.001 a 100.000,9,2,7,1,1,11,2,0,0,0,4,1,4,1,Casalinga,Scuole superiori/Diploma,415,10,35,6,Glaut,worst,not gibberish
Una femmina,28,Lombardia,Oltre 500.001,16,2,18,2,1,10,1,0,0,0,9,1,9,1,Imprenditore/libero professionista,Laurea/post laurea,255,10,62,6,Glaut,better,not gibberish
Una femmina,40,Friuli Venezia-Giulia,Fino a 10.000,13,1,10,2,1,9,1,0,0,0,8,1,3,1,Casalinga,Scuole medie,1030,10,43,6,Glaut,better,not gibberish
Un maschio,39,Veneto,Fino a 10.000,9,2,12,1,1,11,3,0,0,0,2,1,19,2,Dirigente/Quadro,Scuole superiori/Diploma,587,9,53,8,Glaut,better,not gibberish
Una femmina,42,Puglia,Da 30.001 a 100.000,40,2,26,2,3,10,2,1,9,1,5,1,8,1,Non occupato/in cerca di occupazione,Scuole superiori/Diploma,373,10,98,11,Glaut,better,not gibberish
Una femmina,42,Lombardia,Oltre 500.001,14,2,21,3,0,10,3,0,0,0,26,3,13,2,Impiegato,Laurea/post laurea,358,9,84,11,Glaut,worst,not gibberish
Un maschio,57,Abruzzo,Da 10.001 a 30.000,2,0,15,2,0,0,0,0,0,0,6,0,4,0,Non occupato/in cerca di occupazione,Laurea/post laurea,326,7,27,2,Glaut,better,not gibberish
Un maschio,46,Lombardia,Oltre 500.001,34,4,64,4,0,0,0,0,0,0,28,2,11,1,Impiegato,Laurea/post laurea,1281,8,137,7,Glaut,better,not gibberish
Una femmina,56,emilia romagna,Da 100.001 a 500.000,20,1,13,2,1,9,2,1,4,1,4,1,5,2,Impiegato,Scuole superiori/Diploma,296,10,55,10,Glaut,worst,not gibberish
Una femmina,36,lazio,Oltre 500.001,11,1,7,2,1,5,2,1,5,1,2,1,3,1,Impiegato,Laurea/post laurea,218,8,33,9,Glaut,better,not gibberish
Una femmina,40,Puglia,Da 30.001 a 100.000,17,2,11,1,1,13,2,0,0,0,9,1,8,1,Impiegato,Scuole superiori/Diploma,338,2,58,6,Glaut,better,not gibberish
Un maschio,45,Emilia Romagna,Da 30.001 a 100.000,14,2,16,3,1,16,1,0,0,0,10,1,10,1,Impiegato,Laurea/post laurea,325,9,66,7,Glaut,better,not gibberish
Un maschio,32,Emilia romagna,Da 100.001 a 500.000,23,2,17,1,1,12,2,0,0,0,9,1,10,0,Imprenditore/libero professionista,Scuole superiori/Diploma,223,10,71,5,Glaut,worst,gibberish
Una femmina,32,Abruzzo,Da 30.001 a 100.000,14,2,7,1,1,11,2,1,18,1,14,3,5,1,Impiegato,/post laurea,290,9,69,10,Glaut,better,not gibberish
